505	0
506	0
507	0
511	1
516	1
523	1
526	1
527	-1
528	-1
530	-1
531	0
534	-1
535	-1
555	1
557	1
559	-1
561	1
562	0
563	1
564	0
598	1
603	-1
605	-1
614	1
615	1
617	1
619	-1
622	-1
628	1
630	1
631	1
632	1
633	1
634	1
636	1
637	1
638	1
640	1
644	0
653	0
654	1
656	1
657	0
688	1
730	0
747	0
750	1
751	1
752	1
753	1
758	1
760	1
772	1
773	1
774	1
775	1
776	1
777	
778	
780	1
781	1
782	1
783	1
784	1
786	1
787	1
788	1
789	-1
790	1
791	-1
792	1
793	
794	-1
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	1
804	-1
805	1
806	1
807	1
808	1
809	1
811	0
812	-1
814	0
815	1
816	-1
820	0
821	-1
822	1
824	-1
826	1
827	1
828	0
829	1
831	1
832	0
835	-1
836	1
837	
845	0
846	0
847	
848	1
849	0
850	0
851	0
852	-1
853	-1
854	1
855	1
856	1
857	0
858	0
859	0
860	0
861	0
862	0
864	0
865	0
867	0
868	1
869	1
870	-1
871	0
872	-1
874	
875	1
876	-1
877	1
881	
889	-1
897	1
898	1
1022	2
1023	1 2
1024	1 2
1025	0
1026	2
1027	0
1028	2
1029	2
1030	1 2
1031	0
1034	2
1035	2
1036	2
1037	0
1038	2
1039	0
1043	2
1047	0
1051	2
1055	2
1098	2
1099	-1
1100	2
1101	0
1102	2
1103	2
1104	2
1105	0
1106	2
1107	0
1108	-1
1109	0
1110	2
1111	0
1112	2
1114	0
1115	0
1117	2
1120	2
1141	-1
1163	2
1164	2
1165	2
1166	2
1167	0
1168	2
1169	1
1170	0
1171	0
1172	0
1174	0
1175	3
1177	2
1181	2
1183	0
1184	2
1188	2
1189	0
1195	0
1202	2
1219	2
1220	3
1221	-1
1222	2
1223	2
1224	2
1225	-1
1226	-1
1227	2
1228	2
1229	2
1230	2
1231	2
1233	-1
1235	1
1236	2
1238	2
1243	2
1247	2
1248	2
1329	1 2
1332	-1
1333	-1
1335	
1336	1
1339	0
1340	1
1341	0
1342	-1
1344	-1
1356	0
1362	1
1364	0
1370	0
1375	
1376	1
1377	0
1379	1
1380	
1385	0
1387	
1401	0
1403	1
1420	1
1430	0
1435	0
1445	0
1448	2 3
1452	2
1456	2 3
1458	3
1461	2 3
1462	2
1465	2 3
1468	3
1541	0
1542	1
1543	1
1544	0
1545	0
1546	1
1547	0
1548	1
1549	1
1550	0
1551	0
1552	1
1553	0
1554	1
1555	1
1556	1
1557	-1
1558	-1
1559	1
1560	0
1561	0
1562	1
1563	0
1564	-1
1565	1
1566	0
1567	-1
1568	-1
1569	-1
1570	0
1571	1
1572	-1
1573	1
1574	-1
1575	1
1576	-1
1577	-1
1578	1
1579	0
1581	-1
1596	1
1597	
1600	
1603	1
1608	-1
1610	
1614	1
1623	-1
